Nº,Razão Social,Nome Fantasia,CNPJ,CNAE Principal,Endereço,Cidade,Estado,País,Email,Telefone,Situação Cadastral
1149,Rodrigues Cunha e Filhos Ltda,- ME Distinctio,61.354.820/0001-76,8020-0/01 (Monitoramento de segurança),Estação de Oliveira,Monteiro de Oliveira,GO,Brasil,paulocosta@costela.net,+55 (071) 1211-5097,Ativa
1150,Correia Ltda,- ME Suscipit,32.706.184/0001-04,7020-4/00 (Consultoria empresarial),"Área Melo, 84",Moura,SC,Brasil,thales71@martins.com,+55 (051) 6276-5505,Ativa
1151,Lima Martins S/A Ltda,- ME Accusamus,81.407.625/0001-74,4930-2/01 (Transporte de cargas),"Área de Cunha, 3",Campos da Serra,CE,Brasil,qfarias@caldeira.com,81 7123-2673,Inativa
1152,Peixoto S.A. Ltda,e Filhos Saepe,43.510.627/0001-03,2063-1/00 (Fabricação de cosméticos),"Setor Mendes, 9",Fernandes,CE,Brasil,jmendes@farias.net,(011) 9144-9969,Ativa
1153,Gonçalves Ltda. Ltda,- ME Rem,68.952.407/0001-52,1091-1/02 (Fabricação de alimentos),"Jardim de Carvalho, 18",Cardoso da Prata,DF,Brasil,pietro20@caldeira.net,(061) 6007-1888,Ativa
1154,Gonçalves Ltda,e Filhos Pariatur,59.846.321/0001-54,4671-6/00 (Com. atac. insumos agrícolas),"Residencial Oliveira, 7",Monteiro,RR,Brasil,lucas-gabriel26@sales.com,0500-660-1293,Inativa
1155,Cavalcanti S.A. Ltda,S.A. Unde,80.274.516/0001-63,8020-0/01 (Monitoramento de segurança),"Núcleo Maria Luiza Campos, 22",Correia,MG,Brasil,duartefernando@da.br,+55 (071) 1442-9162,Ativa
1156,Araújo - ME Ltda,S.A. Doloremque,56.483.172/0001-18,6201-5/01 (Desenvolvimento de software),"Praia de da Cunha, 42",Campos,DF,Brasil,zmelo@moraes.com,(051) 5226-4785,Ativa
1157,Rezende Gomes - EI Ltda,S/A Sed,34.279.865/0001-50,4930-2/01 (Transporte de cargas),"Jardim Davi Lucas Peixoto, 43",Lima Verde,PE,Brasil,benjamin34@fernandes.br,51 5353 9954,Ativa
1158,Sales Ltda,- ME Aut,25.316.940/0001-15,6201-5/01 (Desenvolvimento de software),"Jardim da Cunha, 1",Silva,RO,Brasil,tmoura@cardoso.com,+55 61 7679-5492,Inativa
1159,Barros Caldeira e Filhos Ltda,e Filhos Ad,78.590.126/0001-50,7020-4/00 (Consultoria empresarial),"Conjunto de Freitas, 39",Fogaça,BA,Brasil,carlos-eduardo66@araujo.org,81 1310-9610,Inativa
1160,Aragão Ltda. Ltda,- ME Quod,50.198.743/0001-96,4930-2/01 (Transporte de cargas),"Estrada de Costela, 8",Gomes de Minas,SE,Brasil,ana-laura81@monteiro.net,+55 84 2008 0276,Inativa
1161,Cavalcanti Moraes S.A. Ltda,- ME Veniam,87.410.635/0001-45,6619-3/02 (Serviços financeiros),"Vereda Pereira, 69",Ramos,AC,Brasil,smonteiro@da.com,+55 (071) 3421-3192,Ativa
1162,Monteiro - EI Ltda,Ltda. Ut,82.516.904/0001-39,2063-1/00 (Fabricação de cosméticos),Rua de da Rocha,Araújo,ES,Brasil,luiza52@da.com,(061) 2563 1627,Ativa
1163,Santos Ltda,e Filhos Nam,93.785.610/0001-29,6619-3/02 (Serviços financeiros),"Distrito de Dias, 439",Fernandes,PA,Brasil,andre21@lopes.net,(021) 6414-5515,Ativa
1164,Pereira Ltda,Ltda. Consectetur,10.679.385/0001-19,8599-6/04 (Treinamento profissional),"Largo Davi Luiz Santos, 355",Costela,AP,Brasil,andre60@melo.br,(031) 7028-2271,Ativa
1165,Barbosa Ltda,S/A Vero,43.562.780/0001-76,4671-6/00 (Com. atac. insumos agrícolas),"Estação Araújo, 35",Rodrigues,ES,Brasil,cfogaca@da.org,61 3662 3838,Inativa
1166,Rezende da Mota S/A Ltda,- ME Asperiores,05.724.916/0001-08,3511-5/00 (Geração de energia solar),"Campo de Silveira, 1",Araújo,SP,Brasil,pintoana-beatriz@campos.org,(011) 2489 6978,Inativa
1167,Melo Ltda,e Filhos Velit,53.978.264/0001-80,3511-5/00 (Geração de energia solar),"Área Freitas, 740",Cavalcanti,PE,Brasil,enrico49@silveira.org,+55 81 3283 4907,Ativa
1168,Souza Ltda,S.A. Omnis,83.726.495/0001-68,4930-2/01 (Transporte de cargas),"Condomínio de Cunha, 80",Pires da Prata,SE,Brasil,bruno03@da.com,(021) 9646 5672,Ativa
1169,Azevedo Ltda. Ltda,- EI Nostrum,57.360.419/0001-71,6201-5/01 (Desenvolvimento de software),"Viela Barros, 54",Correia das Pedras,AM,Brasil,zgomes@almeida.br,(061) 1355-1776,Ativa
1170,da Rocha Viana - ME Ltda,S.A. Exercitationem,94.751.320/0001-27,6201-5/01 (Desenvolvimento de software),"Aeroporto Ana Beatriz Moura, 6",Aragão da Praia,RJ,Brasil,joao-lucasmelo@martins.com,84 4983-5951,Inativa
1171,da Mata Ltda,S.A. Explicabo,32.680.917/0001-70,7020-4/00 (Consultoria empresarial),"Chácara de Gonçalves, 10",Santos,DF,Brasil,enogueira@nunes.org,81 0174-7500,Ativa
1172,Barbosa - ME Ltda,e Filhos Facere,78.204.935/0001-87,6619-3/02 (Serviços financeiros),"Recanto de da Cruz, 3",da Conceição da Mata,GO,Brasil,rebecaviana@cavalcanti.br,(051) 6426-4052,Ativa
1173,Fernandes Ltda,- ME Dolorum,57.830.129/0001-44,4671-6/00 (Com. atac. insumos agrícolas),"Vila de Moreira, 8",Oliveira,PR,Brasil,cardosohelena@moraes.br,+55 (021) 7938-4640,Inativa
1174,Caldeira Lopes - ME Ltda,- ME Tempora,26.935.704/0001-40,6201-5/01 (Desenvolvimento de software),"Colônia Otávio Nascimento, 523",Jesus de Gomes,TO,Brasil,isabella36@peixoto.br,+55 (051) 2057-2750,Inativa
1175,Ribeiro Gomes - EI Ltda,S.A. Veritatis,47.085.629/0001-45,7020-4/00 (Consultoria empresarial),"Lagoa Nascimento, 60",Silva,MS,Brasil,caue26@lima.br,+55 (084) 2928-2211,Inativa
1176,das Neves - EI Ltda,e Filhos Illum,13.590.746/0001-44,8020-0/01 (Monitoramento de segurança),"Favela Silveira, 73",da Costa,PA,Brasil,gabriela70@aragao.br,11 1283-3386,Ativa
1177,Cunha Ltda,e Filhos Quisquam,46.723.910/0001-01,4671-6/00 (Com. atac. insumos agrícolas),"Setor Costela, 71",Vieira Verde,GO,Brasil,hmartins@santos.org,21 4250 4053,Inativa
1178,Barros Ltda,S/A Sunt,03.975.864/0001-17,8599-6/04 (Treinamento profissional),"Condomínio de Ribeiro, 3",Caldeira,AP,Brasil,alvesbeatriz@araujo.net,(061) 6350-8907,Inativa
1179,Rodrigues S/A Ltda,S.A. Error,80.437.629/0001-32,2063-1/00 (Fabricação de cosméticos),"Alameda de da Cruz, 7",Freitas,PR,Brasil,gustavo-henrique68@silveira.br,(021) 4641-9566,Inativa
1180,Melo Rezende - ME Ltda,- EI Libero,38.715.092/0001-69,2063-1/00 (Fabricação de cosméticos),"Loteamento de Souza, 5",Correia,PI,Brasil,igoncalves@ribeiro.com,+55 31 5963-2943,Inativa
1181,Campos S.A. Ltda,S.A. Asperiores,93.501.276/0001-34,6619-3/02 (Serviços financeiros),"Estação Gonçalves, 67",Moura,RO,Brasil,vianasophie@cardoso.br,61 1193-1158,Ativa
1182,Nogueira S.A. Ltda,Ltda. Et,38.967.421/0001-69,4671-6/00 (Com. atac. insumos agrícolas),"Aeroporto Marcos Vinicius Jesus, 28",Rodrigues de Ferreira,GO,Brasil,augusto66@oliveira.br,+55 (081) 3809 4645,Inativa
1183,Vieira Ltda,- ME Quia,08.631.752/0001-62,2063-1/00 (Fabricação de cosméticos),Sítio de Fernandes,Campos do Amparo,PA,Brasil,amanda47@santos.com,+55 61 9827-9103,Inativa
1184,Castro Ltda,- EI Numquam,36.842.579/0001-87,4930-2/01 (Transporte de cargas),"Praia de Barbosa, 25",Cardoso,MA,Brasil,peixotoeloah@nunes.net,0500 303 4665,Inativa
1185,Correia Ltda,- ME Deserunt,96.128.754/0001-09,6619-3/02 (Serviços financeiros),"Jardim Nascimento, 4",Duarte,MG,Brasil,maria-eduardacunha@cavalcanti.net,81 0654 0564,Inativa
1186,da Cruz Ltda,S/A In,20.637.419/0001-66,6619-3/02 (Serviços financeiros),"Loteamento Clara da Rosa, 66",Alves do Norte,RR,Brasil,xferreira@alves.br,+55 (011) 7776-9018,Ativa
1187,Correia Ltda,S/A Autem,03.796.184/0001-36,8599-6/04 (Treinamento profissional),"Viela de Pereira, 7",Monteiro,MA,Brasil,pedrocavalcanti@pires.com,31 1333 7279,Ativa
1188,Caldeira Ltda,S/A Ex,31.492.506/0001-99,4930-2/01 (Transporte de cargas),"Quadra de Ferreira, 2",Ribeiro de Goiás,SP,Brasil,salesdavi-lucca@monteiro.net,0500-266-6276,Inativa
1189,Alves Ltda,Ltda. Tempora,69.802.437/0001-45,7020-4/00 (Consultoria empresarial),Feira de da Rosa,Cardoso de Minas,MS,Brasil,alexandre56@da.com,11 1432-6857,Ativa
1190,Castro Ltda,Ltda. Vero,86.247.953/0001-74,7020-4/00 (Consultoria empresarial),"Largo da Rocha, 51",Farias das Pedras,AP,Brasil,clarice54@mendes.com,+55 41 2562 8444,Ativa
1191,Farias Ltda,- EI Beatae,43.087.215/0001-02,6201-5/01 (Desenvolvimento de software),"Viela da Luz, 88",da Mota do Amparo,AL,Brasil,giovannaporto@farias.br,31 2661-6780,Inativa
1192,Alves Ltda,- ME Sequi,37.214.056/0001-59,8020-0/01 (Monitoramento de segurança),"Distrito de Peixoto, 968",da Cunha Grande,SC,Brasil,luiz-henrique71@porto.org,+55 (011) 9820 5395,Ativa
1193,da Luz Ltda,e Filhos Adipisci,61.243.598/0001-34,4671-6/00 (Com. atac. insumos agrícolas),"Travessa Enrico Caldeira, 97",Dias do Oeste,MT,Brasil,carvalhoaugusto@dias.com,+55 31 7166-1110,Inativa
1194,Correia Ltda,S.A. Necessitatibus,04.568.371/0001-25,8020-0/01 (Monitoramento de segurança),"Estação de Melo, 9",da Paz de Pereira,MS,Brasil,pietralima@rezende.br,+55 (051) 2105 8606,Inativa
1195,da Costa Ltda. Ltda,- EI Facilis,82.605.143/0001-91,1091-1/02 (Fabricação de alimentos),Largo Cauê Freitas,Sales,AL,Brasil,joanasales@cardoso.com,0300 929 1036,Inativa
1196,Silva Pereira Ltda. Ltda,Ltda. Est,32.068.495/0001-87,4930-2/01 (Transporte de cargas),"Quadra Ana Vitória Freitas, 951",da Conceição,PE,Brasil,fernandanogueira@araujo.com,(011) 7985-7445,Inativa
1197,Castro Martins e Filhos Ltda,e Filhos Saepe,85.170.924/0001-99,8020-0/01 (Monitoramento de segurança),"Lago Nina Lima, 3",Cunha dos Dourados,ES,Brasil,ocosta@da.com,+55 (071) 3586 8567,Inativa
1198,Pinto Ltda,- ME Commodi,10.753.829/0001-19,6619-3/02 (Serviços financeiros),"Recanto de Castro, 7",Rezende da Praia,AM,Brasil,das-neveslucca@correia.br,(081) 3100-0167,Inativa
1199,Martins S/A Ltda,- ME Nam,52.601.897/0001-02,8599-6/04 (Treinamento profissional),"Praça de Gonçalves, 3",Gonçalves,SE,Brasil,lbarbosa@melo.com,0300-233-3189,Ativa
1200,da Rosa Ltda,Ltda. Aliquid,28.075.346/0001-78,4930-2/01 (Transporte de cargas),"Vereda da Rocha, 240",Cardoso do Norte,MG,Brasil,xsilveira@moraes.com,+55 (081) 5069 0979,Inativa
1201,Santos Ltda,- ME Earum,41.206.538/0001-34,1091-1/02 (Fabricação de alimentos),"Praia Oliveira, 376",Ribeiro,SP,Brasil,yalmeida@araujo.com,51 3250 7859,Ativa
1202,Barros Ltda,Ltda. Consequatur,65.703.492/0001-27,8599-6/04 (Treinamento profissional),"Via Correia, 822",da Cruz de Costela,PI,Brasil,levipinto@pires.br,(051) 9135 8603,Ativa
1203,Cavalcanti Ltda,e Filhos Ipsa,48.253.967/0001-01,2063-1/00 (Fabricação de cosméticos),"Fazenda de da Luz, 27",Lopes do Campo,ES,Brasil,diogoda-mata@da.com,(021) 2733 8383,Ativa
1204,Ferreira Silva S.A. Ltda,- ME Labore,91.675.438/0001-25,1091-1/02 (Fabricação de alimentos),"Parque Peixoto, 1",Vieira de Pinto,PE,Brasil,emanuella75@cardoso.com,+55 21 7149 8678,Inativa
1205,da Luz Ltda. Ltda,e Filhos Corrupti,64.179.380/0001-56,8020-0/01 (Monitoramento de segurança),"Vereda de Vieira, 4",Araújo de Cunha,RS,Brasil,melissa22@silveira.org,0500-882-6721,Ativa
1206,Nascimento Gonçalves - EI Ltda,- EI Aut,41.387.952/0001-97,6619-3/02 (Serviços financeiros),"Pátio Mendes, 90",Nascimento,SC,Brasil,hgoncalves@monteiro.com,+55 21 2204 3286,Ativa
1207,da Cruz Novaes e Filhos Ltda,S.A. Eveniet,89.607.153/0001-05,6619-3/02 (Serviços financeiros),"Rua Luiz Gustavo Santos, 5",Jesus,RR,Brasil,jrocha@martins.br,(041) 5627 7033,Ativa
1208,Gonçalves Nascimento Ltda. Ltda,S.A. Dolores,86.034.925/0001-79,6201-5/01 (Desenvolvimento de software),"Núcleo Souza, 9",da Cunha da Serra,MG,Brasil,ferreirajoao-felipe@nascimento.com,(011) 2420 4238,Inativa
1209,da Mata Melo - ME Ltda,- ME Non,92.581.607/0001-20,6201-5/01 (Desenvolvimento de software),"Setor Duarte, 57",Peixoto do Oeste,MT,Brasil,oliveiracecilia@pires.com,11 0845-0991,Inativa
1210,Dias Jesus Ltda. Ltda,- EI Molestias,98.273.546/0001-10,7020-4/00 (Consultoria empresarial),Parque Yuri Farias,da Rocha,AP,Brasil,vbarros@mendes.br,81 8191-0816,Inativa
1211,Teixeira da Rocha S.A. Ltda,e Filhos Ipsam,02.345.917/0001-53,3511-5/00 (Geração de energia solar),"Praia Samuel Pires, 862",Rocha,MS,Brasil,enzo-gabrielduarte@da.br,+55 21 5247-1544,Inativa
1212,Peixoto - ME Ltda,- ME Molestiae,80.239.467/0001-28,2063-1/00 (Fabricação de cosméticos),"Chácara de Nogueira, 628",Rezende de Teixeira,MS,Brasil,rdas-neves@ramos.com,+55 51 8887 1554,Inativa
1213,Freitas Ltda,S.A. Rerum,02.851.963/0001-24,6201-5/01 (Desenvolvimento de software),"Rodovia da Cruz, 60",Lima de Cavalcanti,CE,Brasil,davi29@novaes.org,+55 81 1942-4395,Ativa
1214,Peixoto Araújo S/A Ltda,S.A. Fugit,21.865.437/0001-68,2063-1/00 (Fabricação de cosméticos),Trevo de Gonçalves,Nascimento Grande,SE,Brasil,portonicolas@monteiro.br,(011) 4082-5432,Inativa
1215,Silveira Ltda,Ltda. Praesentium,52.081.394/0001-53,7020-4/00 (Consultoria empresarial),"Lagoa de Rodrigues, 62",da Rocha dos Dourados,DF,Brasil,sophiesantos@sales.com,+55 71 8027-2756,Ativa
1216,Lima Ltda,- EI Porro,79.145.203/0001-26,2063-1/00 (Fabricação de cosméticos),"Aeroporto Martins, 7",Almeida,RJ,Brasil,carlos-eduardopinto@cardoso.net,+55 (084) 4474-7125,Ativa
1217,da Conceição Freitas - ME Ltda,S.A. Deleniti,69.052.381/0001-59,4930-2/01 (Transporte de cargas),Viaduto Diogo Cardoso,Barros,AL,Brasil,lopesbenjamin@costela.net,+55 81 4988 7257,Inativa
1218,da Rocha Ltda,S/A Quaerat,42.798.501/0001-05,8020-0/01 (Monitoramento de segurança),Viela Nogueira,Gomes,TO,Brasil,maria-julia49@rezende.br,(031) 1378 1020,Inativa
1219,Ferreira - ME Ltda,- EI Voluptatum,86.153.497/0001-01,8599-6/04 (Treinamento profissional),"Parque de Moreira, 80",Costela,SC,Brasil,caroline11@barros.org,(051) 9309 0704,Ativa
1220,Pires Ltda,- EI Voluptatem,61.074.983/0001-03,2063-1/00 (Fabricação de cosméticos),"Núcleo de da Rocha, 9",Pinto da Praia,SC,Brasil,stella26@alves.br,21 8891-2904,Ativa
1221,Gomes Rezende Ltda. Ltda,S.A. Soluta,72.804.153/0001-00,8020-0/01 (Monitoramento de segurança),"Morro de Ribeiro, 53",Jesus Grande,PR,Brasil,paulo27@campos.br,11 6267-9798,Inativa
1222,Moreira Alves e Filhos Ltda,S/A Consequuntur,36.290.748/0001-13,1091-1/02 (Fabricação de alimentos),"Lagoa Sabrina Ferreira, 94",Nunes da Serra,RN,Brasil,cunhadaniela@moura.org,31 2150-6680,Inativa
1223,Nascimento Novaes S.A. Ltda,e Filhos Explicabo,97.150.842/0001-61,4930-2/01 (Transporte de cargas),"Estação de Castro, 231",Nascimento,PR,Brasil,da-rosalucca@aragao.org,+55 (021) 3521-1069,Ativa
1224,da Rosa S.A. Ltda,S/A Error,34.579.016/0001-12,6619-3/02 (Serviços financeiros),"Favela Moura, 4",Rodrigues,MT,Brasil,pietro17@gomes.net,+55 11 1202 7709,Inativa
1225,da Mota Mendes Ltda. Ltda,- EI Quo,53.814.906/0001-06,4930-2/01 (Transporte de cargas),"Vale Thiago Gonçalves, 93",Nascimento do Sul,BA,Brasil,portodaniel@sales.org,0900 575 2358,Ativa
1226,Nogueira Ltda,- EI Provident,65.197.032/0001-74,1091-1/02 (Fabricação de alimentos),"Loteamento Nathan Sales, 4",Castro de Minas,SP,Brasil,lmelo@duarte.com,+55 71 2605 2848,Inativa
1227,Lima Ltda,e Filhos Laboriosam,60.531.982/0001-70,3511-5/00 (Geração de energia solar),"Colônia de da Rosa, 16",Freitas,AP,Brasil,meloenrico@teixeira.org,+55 11 3356 4707,Ativa
1228,da Cruz - EI Ltda,e Filhos In,76.094.532/0001-05,8599-6/04 (Treinamento profissional),"Recanto Vitor Gabriel Nogueira, 938",Castro do Galho,RJ,Brasil,costaleonardo@martins.org,0800-423-4348,Inativa
1229,Pereira Ltda,Ltda. Quae,67.403.581/0001-83,8599-6/04 (Treinamento profissional),Recanto de Ferreira,Azevedo de Rodrigues,SC,Brasil,miguelmoraes@barbosa.br,+55 (051) 6204-6050,Inativa
1230,das Neves Ltda,S.A. Ipsam,43.817.529/0001-05,2063-1/00 (Fabricação de cosméticos),"Distrito Nogueira, 11",Moura do Campo,RO,Brasil,ana-liviacosta@correia.net,+55 11 8930 7028,Ativa
1231,Campos e Filhos Ltda,- EI Cum,34.976.518/0001-87,8020-0/01 (Monitoramento de segurança),"Viaduto da Mata, 2",da Mota,PA,Brasil,jjesus@mendes.com,41 4971 7176,Inativa
1232,Almeida Ltda,S.A. Reiciendis,36.278.091/0001-79,8020-0/01 (Monitoramento de segurança),"Sítio Pinto, 9",Costela,SP,Brasil,giovanna54@cardoso.br,(011) 0421 7815,Ativa
1233,da Rocha S/A Ltda,- EI Corporis,15.027.964/0001-09,1091-1/02 (Fabricação de alimentos),"Estrada Isadora Cardoso, 93",Cunha,MS,Brasil,bruna72@nascimento.com,(071) 3884 2196,Ativa
1234,da Conceição Ltda,- EI Esse,21.076.984/0001-64,7020-4/00 (Consultoria empresarial),"Alameda Lopes, 64",Cardoso,AM,Brasil,sophie43@nascimento.com,+55 (021) 1429 6535,Inativa
1235,Costa Moraes S.A. Ltda,Ltda. Accusamus,36.149.807/0001-38,6619-3/02 (Serviços financeiros),"Estrada Laís Peixoto, 11",Jesus Alegre,MG,Brasil,da-cunhalavinia@duarte.com,(081) 6329 3091,Ativa
1236,Costela Ltda,- ME Non,01.286.375/0001-22,6619-3/02 (Serviços financeiros),Pátio Júlia Aragão,Barbosa,MG,Brasil,anthonyaragao@da.br,+55 (051) 2493-6590,Ativa
1237,Freitas S/A Ltda,Ltda. Magnam,47.192.063/0001-50,2063-1/00 (Fabricação de cosméticos),"Largo Souza, 9",Alves de Silveira,RN,Brasil,raul21@silveira.com,84 9533-4896,Inativa
1238,Novaes Ltda,Ltda. Ducimus,95.740.326/0001-61,8599-6/04 (Treinamento profissional),"Praia João Vitor Ramos, 37",Duarte,BA,Brasil,melissada-mota@pires.com,(041) 6951-3841,Ativa
1239,Cunha Ltda,e Filhos Nisi,27.013.964/0001-20,8020-0/01 (Monitoramento de segurança),"Setor Lucas Melo, 95",Sales,AL,Brasil,marinafernandes@da.org,31 5733-9063,Inativa
1240,Monteiro Ltda,- EI Dignissimos,28.147.956/0001-30,8020-0/01 (Monitoramento de segurança),Pátio Mendes,Nunes,PE,Brasil,souzajoao-felipe@da.net,+55 (011) 6652-0282,Ativa
1241,Cardoso - EI Ltda,- EI Quis,35.720.496/0001-52,4671-6/00 (Com. atac. insumos agrícolas),"Distrito da Luz, 15",Gonçalves,PI,Brasil,malves@aragao.br,51 4708 3671,Inativa
1242,da Mata Porto S/A Ltda,- ME Porro,48.762.103/0001-15,8599-6/04 (Treinamento profissional),"Alameda de Nogueira, 128",Ramos,RN,Brasil,da-rochabianca@da.br,81 3946 1010,Inativa
1243,Ribeiro Ltda,- EI Vitae,17.092.358/0001-94,4930-2/01 (Transporte de cargas),"Quadra de Ribeiro, 67",da Cruz de Farias,SP,Brasil,antonio18@rodrigues.br,+55 21 1607 9543,Inativa
1244,Correia Ltda,e Filhos Dignissimos,60.789.254/0001-62,6619-3/02 (Serviços financeiros),"Viela de da Rosa, 61",Santos,SC,Brasil,nathancorreia@da.com,+55 (071) 5537-2485,Ativa
1245,Silveira Ltda,e Filhos Quidem,56.039.128/0001-13,1091-1/02 (Fabricação de alimentos),"Lago Pietro Melo, 70",Rocha de Nascimento,RJ,Brasil,mendeslarissa@da.com,+55 21 9689-6390,Inativa
1246,Peixoto - ME Ltda,e Filhos Illo,97.042.381/0001-03,1091-1/02 (Fabricação de alimentos),"Viaduto Bernardo da Paz, 609",da Cunha,TO,Brasil,pedrobarros@da.br,(021) 7758-5501,Ativa
1247,Sales Ltda,- EI Debitis,62.814.079/0001-41,6201-5/01 (Desenvolvimento de software),"Condomínio Luana Costa, 2",da Cunha,BA,Brasil,lcostela@silva.com,71 3377-4850,Ativa
1248,Moraes Almeida e Filhos Ltda,e Filhos Aliquam,12.057.486/0001-83,8599-6/04 (Treinamento profissional),"Vereda de Araújo, 2",Cavalcanti,SP,Brasil,alice83@castro.com,41 8035 6681,Ativa
1249,Fogaça Ltda,e Filhos Quibusdam,03.782.165/0001-50,6619-3/02 (Serviços financeiros),"Estrada Costa, 493",Martins de Viana,GO,Brasil,davi-luiz47@da.net,+55 81 2272-9758,Inativa
1250,Aragão S.A. Ltda,- EI Consequatur,76.943.208/0001-06,4671-6/00 (Com. atac. insumos agrícolas),Trevo da Cunha,Rezende,AC,Brasil,cavalcantiana-carolina@silva.com,+55 31 5740 0272,Inativa
1251,da Paz - ME Ltda,e Filhos Minima,51.978.203/0001-98,6619-3/02 (Serviços financeiros),"Sítio Ribeiro, 120",Gonçalves,MG,Brasil,joao-gabriel80@moraes.com,(011) 8344-6436,Inativa
1252,Moura Novaes - ME Ltda,- EI Deleniti,78.205.164/0001-42,2063-1/00 (Fabricação de cosméticos),"Quadra Correia, 543",Jesus de Araújo,MS,Brasil,limanina@moreira.com,+55 (021) 3585-4891,Inativa
1253,Lima Campos - EI Ltda,e Filhos In,15.362.079/0001-78,1091-1/02 (Fabricação de alimentos),"Morro Camila Nogueira, 77",da Rocha das Pedras,PI,Brasil,marcos-viniciusdas-neves@silveira.br,+55 31 8114-5591,Inativa
1254,Silva Ltda,S/A Veniam,08.764.135/0001-35,6201-5/01 (Desenvolvimento de software),"Condomínio de Novaes, 2",Teixeira do Campo,RJ,Brasil,carlos-eduardo92@barbosa.net,+55 51 4978 3382,Ativa
1255,Teixeira Lopes - EI Ltda,- EI Ipsa,23.075.894/0001-84,6201-5/01 (Desenvolvimento de software),Favela Caldeira,Freitas da Prata,MA,Brasil,haragao@jesus.br,+55 (021) 9044 3228,Inativa
1256,Moreira Ltda,e Filhos Ea,60.527.183/0001-20,7020-4/00 (Consultoria empresarial),"Área de Azevedo, 27",da Paz de Costa,DF,Brasil,freitaspietra@porto.net,0300-877-1636,Inativa
1257,da Rocha Dias e Filhos Ltda,S/A Deleniti,21.438.790/0001-61,8020-0/01 (Monitoramento de segurança),"Viaduto Sophia Freitas, 38",Lopes,RS,Brasil,isabella95@pereira.com,0800 267 2446,Inativa
1258,Porto Barbosa Ltda. Ltda,e Filhos Tempore,36.042.897/0001-63,3511-5/00 (Geração de energia solar),"Via Matheus Rocha, 78",Fogaça,AL,Brasil,davi-luccafarias@rodrigues.com,(061) 3637-1735,Inativa
1259,Aragão Ltda,Ltda. Odio,18.409.236/0001-41,2063-1/00 (Fabricação de cosméticos),"Praia Ana Luiza Ramos, 621",da Cunha da Serra,MA,Brasil,joao-pedrosilva@correia.com,11 9893 9038,Inativa
1260,Barros Ltda,S.A. Ea,95.108.624/0001-33,8599-6/04 (Treinamento profissional),"Parque de Farias, 273",da Luz,MA,Brasil,amanda87@moura.br,51 3124 7623,Ativa
1261,Peixoto Nogueira - EI Ltda,Ltda. Maiores,40.569.382/0001-93,4671-6/00 (Com. atac. insumos agrícolas),"Praia Monteiro, 57",Correia,PB,Brasil,castrohelena@viana.net,+55 (021) 5292 2515,Ativa
1262,Gonçalves Ltda,- ME Labore,35.076.894/0001-88,6619-3/02 (Serviços financeiros),"Recanto de Santos, 9",Rezende,BA,Brasil,barbara87@freitas.com,+55 71 3984-2785,Ativa
1263,Porto - EI Ltda,e Filhos Veniam,78.429.053/0001-10,8020-0/01 (Monitoramento de segurança),"Jardim Bárbara Freitas, 300",Porto,DF,Brasil,manuelacavalcanti@oliveira.com,+55 71 3201 6683,Inativa
1264,Silveira Ltda. Ltda,- ME Veritatis,35.472.910/0001-51,8020-0/01 (Monitoramento de segurança),"Distrito de Martins, 852",Ribeiro,RS,Brasil,vitor-gabrielsouza@silveira.com,+55 (051) 6018-2273,Ativa
1265,Porto Costela - EI Ltda,S.A. Amet,91.635.087/0001-29,8020-0/01 (Monitoramento de segurança),"Jardim Freitas, 6",Alves de Minas,PI,Brasil,luiz-fernando83@alves.br,0300 307 0834,Ativa
1266,Moraes Ltda,Ltda. Eaque,47.168.350/0001-25,6201-5/01 (Desenvolvimento de software),"Feira de Lopes, 313",Nunes do Amparo,MG,Brasil,yuridas-neves@caldeira.com,0500-092-7247,Ativa
1267,da Cunha Ltda,- ME Rem,45.739.108/0001-39,4671-6/00 (Com. atac. insumos agrícolas),"Lago Rocha, 65",Moura das Pedras,GO,Brasil,lorena19@freitas.br,+55 84 3853-0716,Inativa
